,index,splitted
476,Dorothy Ann Blank (story adaptation),1
477,Merrill De Maris (story adaptation),1
478,Earl Hurd (story adaptation),1
479,Dick Rickard (story adaptation),1
480,Richard Creedon (story adaptation),1
481,Wilhelm Grimm (fairy tales),1
482,Jacob Grimm (fairy tales),1
483,John O'Rear (book),1
484,Gregory K. Pincus (teleplay),1
485,Kelly Marcel,1
486,Douglas Love,1
487,S.S. Field (based on a story by),1
488,Seton I. Miller (based on a story by),1
489,Malcolm Marmorstein (based on a screenplay by),1
490,Toby Halbrooks (screenplay by),1
491,David Lowery (screenplay by),1
492,S.S. Field (story),1
493,Seton I. Miller (story),1
494,Malcolm Marmorstein (screenplay),1
495,Simon Nash,1
496,Kelsey Mann,1
497,Peter Sohn,1
498,Jim Kouf,1
499,Douglas Tuber,1
500,Gene Quintano,1
501,James Morris (story),1
502,Keith Bunin (screenplay by),1
503,Jason Headley (screenplay by),1
504,Jason Headley (original story by),1
505,Keith Bunin (original story by),1
506,Dan Scanlon (original story by),1
507,Mark Andrews,1
508,Andrew Jimenez,1
509,Thomas Meehan,1
510,Barry Healey (story),1
511,Tim Maile,1
512,Jon Colton Barry,1
513,Alan Barillaro,1
514,Kim Roberson (additional material),1
515,Joseph Sabo (story adaptation),1
516,William Cottrell (story adaptation),1
517,Carlo Collodi (from the story by),1
518,Ted Henning (additional screenplay material),1
519,Joshua Pruett,1
520,Antoine Guilbaud,1
521,Eddie Pittman (written and storyboard by),1
522,Bernie Petterson,1
523,Kaz,1
524,Kim Roberson,1
525,Seth Kersley (additional material),1
526,Antoine Guilbaud (additional material),1
527,Michael Diederich (additional material),1
528,Kaz (additional material),1
529,Chong Lee (additional material),1
530,Aliki Theofilopoulos (additional material),1
531,Joe Orrantia (additional material),1
532,Bernie Petterson (additional material),1
533,Sue Perrotto (additional material),1
534,Zac Moncrief (additional material),1
535,Tom Minton (additional material),1
536,Kyle Menke (additional material),1
537,Chris Headrick (additional material),1
538,Wendy Grieb (additional material),1
539,Phillip Borsos (story),1
540,Thomas Meehan (story),1
541,Mary Rodgers (musical),1
542,Gregory Poirier (story),1
543,Bob Tzudiker (based on the film written by),1
544,Harvey Fierstein (book),1
545,Noni White,1
546,Bob Tzudiker,1
547,Charles Segars (characters),1
548,Oren Aviv (characters),1
549,Jim Kouf (characters),1
550,Terry Rossio (story),1
551,Ted Elliott (story),1
552,Cormac Wibberley (story),1
553,Marianne Wibberley (story),1
554,Charles Segars (story),1
555,Jay Thompson (musical),1
556,Oren Aviv (story),1
557,Jim Kouf (story),1
558,Deanna Oliver,1
559,Sherri Stoner,1
560,John L. Greene (television series My Favorite Martian),1
561,Gordon Buford (based on a story by),1
562,Myles Wilder (teleplay),1
563,William Raynor (teleplay),1
564,James Bobin,1
565,Kirk R. Thatcher (screenplay),1
566,Robert Louis Stevenson (novel),1
567,Noni White (based on the film written by),1
568,Marc Lawrence (script),1
569,Bill Fritz,1
570,Jac Schaeffer (screenplay by),1
571,Dean Fuller (musical),1
572,Marshall Barer (musical),1
573,Danny Mann (additional story material),1
574,Steve Hulett (additional story material),1
575,Chris Hubbell (additional story material),1
576,Sam Graham (additional story material),1
577,Gerrit Graham (additional story material),1
578,"Charles Dickens (inspired by ""Oliver Twist"" by)",1
579,Leon Joosen (story),1
580,Michael Cedeno (story),1
581,Kirk Wise (story),1
582,Chris Bailey (story),1
583,Jim Mitchell (story),1
584,Mike Gabriel (story),1
585,James Mangold (animation screenplay),1
586,Tim Disney (animation screenplay),1
587,Jim Cox (animation screenplay),1
588,"Fred Gipson (based on the book ""Old Yeller"" by)",1
589,William Tunberg (screenplay by),1
590,Fred Gipson (screenplay by),1
591,David Weissman,1
592,David Diamond,1
593,Brian Kesinger (head of story),1
594,Aurelius Battaglia (story adaptation),1
595,Tim Powers (novel),1
596,Philip Fracassi,1
597,John Ridley (screenplay),1
598,L. Frank Baum (novels),1
599,Gill Dennis (screenplay),1
600,Walter Murch (screenplay),1
601,Keith Giglio (teleplay),1
602,Juliet Giglio (teleplay),1
603,Alexander Key (characters),1
604,Malcolm Marmorstein,1
605,Gregory Allen Howard,1
606,John Lasseter,1
607,John B. Holway (book),1
608,Aaron McGruder (screenplay),1
609,John Ridley (story),1
610,Jason Feffer (story),1
611,Jonathan Greenberg (screenplay),1
612,Jonathan Greenberg (story),1
613,Joe Ansolabehere (story),1
614,Paul Germain (story),1
615,Joe Ansolabehere (television series Recess),1
616,Paul Germain (television series Recess),1
617,Steve Viksten (segment),1
618,Jonathan Rosenthal (segment),1
619,Peter Gaffney (segment),1
620,Mark Drop (segment),1
621,John Wierick,1
622,Rob Kerchner (story),1
623,Mark Furey (screenplay),1
624,Stuart Beattie (screen story),1
625,George Butler,1
626,Sanjay Patel,1
627,Norman Tokar,1
628,Webb Smith (story research),1
629,William Cottrell (story research),1
630,Ted Sears (story research),1
631,Jon Long,1
632,Karen Fernandez Long,1
633,Delbert Shoopman,1
634,Toni Ann Johnson,1
635,George Butler (narration),1
636,Robert Andrus,1
637,Sam Harper,1
638,Sally Nemeth,1
639,Gary Whitta (story by),1
640,John Knoll (story by),1
641,Tony Gilroy (screenplay by),1
642,Chris Weitz (screenplay by),1
643,David Michener (story sequences),1
644,Julius Svendsen (story sequences),1
645,Eric Cleworth (story sequences),1
646,Frank Thomas (story sequences),1
647,Vance Gerry (story sequences),1
648,Ken Anderson (story sequences),1
649,Ken Anderson (based on: character and story conceptions by),1
650,Julia DeVillers (book),1
651,Beth Rigazio (teleplay),1
652,Patrick J. Clifton (teleplay),1
653,Duncan Marjoribanks (story),1
654,Don Dougherty (additional story development),1
655,Tom Mazzocco (additional story development),1
656,Vincent DeFrances (additional story development),1
657,Nik Ranieri (additional story development),1
658,David Pruiksma (additional story development),1
659,T. Daniel Hofstedt (additional story development),1
660,Broose Johnson (additional story development),1
661,Will Finn (additional story development),1
662,Randy Cartwright (additional story development),1
663,Andrew Chapman (additional story development),1
664,Chris Buck (story),1
665,Todd Kurosawa (story),1
666,Brad Bird (original story by),1
667,Glen Keane (story),1
668,Philip LaZebnik,1
669,Susannah Grant,1
670,Carl Binder,1
671,Bill de la Torre (story),1
672,Eric Gurney (story),1
673,Leo Salkin (story),1
674,Neal Shusterman (teleplay),1
675,Neal Shusterman (story),1
676,Alan Sacks (story),1
677,Jay Wolpert (screen story),1
678,Jorgen Klubien (additional story development),1
679,Mike Gabriel (based on an idea by),1
680,Allen Estrin (screenplay),1
681,Eleanor H. Porter (novel),1
682,Jim Capobianco (original story by),1
683,Jan Pinkava (original story by),1
684,Brad Bird (screenwriter),1
685,Adam Van Wyk (story),1
686,Matthew Weisman (teleplay),1
687,Matthew Weisman (story),1
688,Tim Crothers (based on the ESPN Magazine article and book by),1
689,William Wheeler (screenplay by),1
690,Toby Shelton,1
691,James Robertson (story),1
692,Kristen Lester (story),1
693,Bradley Furnish (story),1
694,Michael Daley (story),1
695,Kristen Lester,1
696,Harland Williams,1
697,Katie Wech,1
698,David Morgasen (story),1
699,Annie DeYoung,1
700,Justin Wright (story),1
701,Ted Mathot (story),1
702,Doug Sweetland,1
703,Karl Geurs (screenplay),1
704,A.A. Milne (stories),1
705,Dave Bullock (story),1
706,Alan Shapiro (story),1
707,Gary Baseman (television series Teacher's Pet),1
708,Jeanne Rosenberg (screen story),1
709,Walter Farley (novel),1
710,Brian Strickland (additional material written by),1
711,Ron Clements (animated film written by),1
712,John Musker (animated film written by),1
713,Todd J. Greenwald (based on the series created by),1
714,Ed Driscoll (punch-up writer),1
715,Steve 'Spaz' Williams (additional story material),1
716,Lloyd Taylor (additional story material),1
717,Matt Lopez (additional story material),1
718,David Collard (additional story material),1
719,Bill Wolkoff (additional story material),1
720,Philip Halprin (story),1
721,Mark Gibson (story),1
722,Michael Hitchcock (teleplay),1
723,Michael Hitchcock (story),1
724,Hallie Einhorn (story),1
725,G.B. Stern (book),1
726,Albert Aley (screenplay),1
727,Jun Falkenstein (screenplay),1
728,Eddie Guzelian (story),1
729,Alexandre Dumas (novel),1
730,James Bodrero (story),1
731,Elmer Plummer (story),1
732,Ernest Terrazas (story),1
733,Jenny Arata (teleplay),1
734,Kelly Senecal (teleplay),1
735,Robert L. Baird (teleplay),1
